student_id,age,gender,course,semester,study_hours,sleep_hours,internet_usage_hours,extracurricular_activity,stress_level,physical_activity_hours,attendance_percentage,assignment_score,internal_exam_score,previous_semester_marks,previous_cgpa,final_score,performance_category,pass_fail
STU1194,23.0,Female,Computer Science,6,5.43,6.08,6.37,Yes,High,0.84,100.0,75.76,57.43,65.24,,37.33,Low,Fail
STU1195,23.0,Male,Civil,1,2.59,8.24,4.68,Yes,Medium,3.72,64.01,59.48,74.84,78.49,8.6,52.16,Average,Pass
STU1196,18.0,Female,Mechanical,2,4.48,6.41,3.88,Yes,Low,5.07,79.23,76.43,100.0,78.73,5.83,68.87,Good,Pass
STU1197,18.0,Female,Business,2,6.53,4.29,2.8,Yes,Low,4.9,80.97,67.4,82.05,61.54,8.69,75.38,Good,Pass
STU1198,20.0,Female,Computer Science,3,5.39,7.57,2.73,No,Low,4.06,65.16,77.21,85.72,42.37,7.04,56.59,Average,Pass
STU1199,21.0,Female,Computer Science,6,3.53,5.79,2.3,No,Medium,3.96,86.24,71.49,65.31,68.69,,52.59,Average,Pass
STU1200,19.0,Female,Computer Science,2,5.56,7.34,2.92,Yes,Medium,5.55,73.22,72.89,59.6,51.23,6.65,43.54,Low,Fail
STU1201,23.0,Female,Computer Science,3,6.79,6.53,5.51,Yes,Medium,3.5,,61.06,57.07,42.65,8.22,25.8,Low,Fail
STU1202,24.0,Male,Computer Science,4,0.0,4.65,3.56,Yes,Medium,3.97,85.92,83.88,61.16,46.04,7.65,11.82,Low,Fail
STU1203,23.0,Female,Business,3,7.9,6.7,1.3,No,Low,2.52,64.6,58.13,39.26,69.9,6.3,29.71,Low,Fail
STU1204,17.0,Female,Computer Science,5,4.16,9.14,7.54,Yes,Low,0.96,65.43,58.69,57.85,85.42,,53.48,Average,Pass
STU1205,20.0,Male,Computer Science,7,6.06,7.09,4.64,No,Medium,1.97,86.25,76.41,60.16,65.58,5.59,55.63,Average,Pass
STU1206,21.0,Female,Civil,1,7.99,6.43,1.19,Yes,Medium,2.99,73.83,91.23,65.54,68.17,7.41,62.96,Average,Pass
STU1207,24.0,Female,Electronics,4,1.57,7.79,3.12,No,,3.09,89.01,67.77,69.84,82.74,7.83,50.47,Average,Pass
STU1208,20.0,Female,Civil,7,3.23,6.75,4.22,No,Low,5.89,92.52,80.41,73.07,41.83,7.92,56.5,Average,Pass
STU1209,22.0,Male,Computer Science,7,4.28,6.75,7.41,Yes,High,3.12,70.26,84.88,67.79,72.8,7.07,59.41,Average,Pass
STU1210,21.0,Male,Electronics,4,3.04,5.19,1.78,No,High,4.77,87.52,81.78,59.86,64.83,5.93,48.07,Low,Fail
STU1211,23.0,Other,Computer Science,5,9.34,6.78,5.95,No,Low,2.35,68.93,68.27,40.51,73.49,6.45,61.69,Average,Pass
STU1212,23.0,Female,Computer Science,3,2.86,7.74,6.8,Yes,Medium,2.53,100.0,,59.95,57.75,8.47,41.38,Low,Fail
STU1213,21.0,Male,Business,1,3.61,5.5,2.74,No,Medium,1.01,69.68,45.51,54.39,52.73,6.67,34.01,Low,Fail
STU1214,23.0,Female,Computer Science,3,5.51,8.21,3.44,Yes,High,1.89,90.31,68.85,74.52,67.11,7.36,50.84,Average,Pass
STU1215,19.0,Female,Mechanical,2,1.99,6.39,1.93,No,Medium,3.79,88.13,86.14,80.73,89.74,6.02,68.17,Good,Pass
STU1216,21.0,Male,Electronics,3,4.01,5.43,3.59,Yes,Low,3.01,81.79,58.51,81.14,77.91,7.57,64.29,Average,Pass
STU1217,20.0,Female,Electronics,8,,7.7,3.93,No,Medium,4.41,69.95,80.4,78.6,57.38,6.7,43.37,Low,Fail
STU1218,21.0,Male,Business,4,4.17,6.16,5.32,No,Medium,3.27,76.18,60.6,66.13,44.89,8.35,22.46,Low,Fail
STU1219,24.0,Male,Computer Science,1,4.77,7.41,6.18,No,,2.47,52.16,73.27,60.69,39.77,8.05,21.62,Low,Fail
STU1220,23.0,Male,Mechanical,3,3.68,6.15,2.5,No,Medium,6.22,80.69,80.49,57.54,84.74,6.65,64.32,Average,Pass
STU1221,19.0,Female,Business,1,1.21,6.43,0.07,No,Medium,2.86,82.2,64.09,46.9,50.67,7.06,23.97,Low,Fail
STU1222,19.0,Male,Mechanical,1,5.8,7.09,,Yes,Medium,4.74,79.6,74.05,81.89,60.12,6.59,61.01,Average,Pass
STU1223,22.0,Male,Business,2,9.39,6.85,4.59,No,Low,2.4,42.32,67.02,65.55,84.82,5.64,58.48,Average,Pass
STU1224,20.0,Male,Computer Science,2,5.05,4.11,4.5,No,Medium,4.06,62.81,80.46,50.55,40.79,6.26,23.02,Low,Fail
STU1225,18.0,Female,Electronics,4,5.56,5.15,3.35,No,Low,4.39,69.02,74.82,56.43,87.38,7.42,72.33,Good,Pass
STU1226,18.0,Female,Computer Science,5,6.73,7.62,4.25,No,High,3.31,81.5,72.68,55.86,61.2,7.56,35.0,Low,Fail
STU1227,21.0,Male,Civil,8,1.83,6.34,7.03,No,Low,0.0,81.47,90.7,68.6,47.77,7.36,59.79,Average,Pass
STU1228,22.0,Male,Business,7,9.26,5.87,4.76,No,Low,3.03,75.96,79.95,82.94,61.29,6.87,64.97,Average,Pass
STU1229,17.0,Female,Computer Science,1,5.51,4.87,3.25,No,Medium,4.85,85.62,63.72,63.13,54.16,8.23,41.41,Low,Fail
STU1230,21.0,Male,Mechanical,5,9.08,5.2,3.0,Yes,High,3.79,65.69,70.97,36.46,71.61,7.27,31.57,Low,Fail
STU1231,22.0,Male,Computer Science,7,3.17,4.07,3.66,Yes,High,3.67,85.32,71.09,65.35,55.28,7.97,35.72,Low,Fail
STU1232,20.0,Male,Mechanical,7,9.55,6.38,7.27,Yes,,0.42,83.7,72.96,65.81,36.33,5.25,41.08,Low,Fail
STU1233,20.0,Male,Electronics,8,6.94,5.78,3.63,No,Low,1.92,82.53,100.0,64.85,61.69,4.0,47.66,Low,Fail
STU1234,20.0,Male,Business,4,6.38,5.34,3.96,Yes,Medium,3.62,75.82,76.45,59.22,44.65,7.51,38.64,Low,Fail
STU1235,20.0,Male,Mechanical,7,5.59,6.42,3.04,Yes,Medium,3.62,99.97,47.57,71.04,68.06,5.63,45.21,Low,Fail
STU1236,20.0,Male,Electronics,8,4.38,6.94,6.2,No,Low,4.82,83.92,65.49,68.93,47.19,6.97,47.97,Low,Fail
STU1237,22.0,Female,Computer Science,7,8.0,9.01,7.92,Yes,High,2.78,66.38,48.81,67.65,57.68,6.87,44.13,Low,Fail
STU1238,22.0,Male,Computer Science,1,5.35,4.69,4.9,No,Low,3.61,80.98,68.04,73.78,67.74,8.95,43.71,Low,Fail
STU1239,19.0,Female,Computer Science,1,0.08,7.89,4.17,Yes,,3.02,87.03,48.15,61.98,61.81,7.64,45.23,Low,Fail
STU1240,24.0,Female,Computer Science,6,2.21,7.67,4.07,Yes,High,1.52,70.94,61.54,61.19,68.76,7.38,31.18,Low,Fail
STU1241,18.0,Male,Business,5,4.54,5.57,0.0,No,,,91.07,53.75,87.32,75.2,8.12,45.14,Low,Fail
STU1242,23.0,Female,Mechanical,3,,6.74,5.49,No,High,3.65,82.58,76.61,75.83,47.63,7.61,43.01,Low,Fail
STU1243,20.0,Male,Mechanical,8,4.86,5.95,4.27,No,Medium,3.26,49.89,72.01,79.58,64.03,6.7,31.48,Low,Fail
STU1244,17.0,Female,Computer Science,2,8.05,6.72,4.86,Yes,Low,2.07,81.6,75.64,85.17,25.0,8.38,46.78,Low,Fail
STU1245,23.0,Male,Business,8,0.12,8.31,2.58,No,Medium,0.57,73.13,70.75,75.36,68.71,5.98,34.59,Low,Fail
STU1246,22.0,Male,Civil,3,5.36,7.23,3.23,Yes,Low,3.94,84.45,55.27,81.0,60.49,7.56,46.64,Low,Fail
STU1247,17.0,Male,Computer Science,5,0.46,7.11,3.18,Yes,Medium,2.6,89.33,78.16,45.89,50.25,5.5,43.19,Low,Fail
STU1248,17.0,Other,Civil,2,6.9,5.98,6.04,Yes,Medium,3.84,80.34,95.07,70.86,69.74,7.42,60.44,Average,Pass
STU1249,17.0,Male,Mechanical,3,4.76,4.72,3.24,Yes,Medium,5.8,,,65.44,82.59,7.41,52.7,Average,Pass
STU1250,19.0,Female,Computer Science,6,6.05,6.25,8.17,Yes,Medium,0.0,75.86,66.89,91.49,57.86,9.04,56.53,Average,Pass
STU1251,22.0,Male,Electronics,2,2.84,7.95,4.86,Yes,Medium,1.95,85.5,54.86,80.99,50.83,5.48,26.76,Low,Fail
STU1252,17.0,Female,Electronics,1,8.2,4.67,1.45,No,High,2.69,87.66,61.1,59.17,67.48,6.54,31.31,Low,Fail
STU1253,20.0,Male,Computer Science,3,7.6,5.23,3.74,Yes,Low,5.18,76.83,77.44,73.22,44.97,8.1,64.39,Average,Pass
STU1254,21.0,Female,Business,8,6.46,6.65,2.7,Yes,Medium,0.55,87.35,84.88,70.35,55.09,7.57,43.87,Low,Fail
STU1255,17.0,Male,Civil,2,4.68,5.32,0.0,Yes,Low,5.9,,75.13,74.36,83.34,7.4,41.22,Low,Fail
STU1256,19.0,Male,Mechanical,6,6.45,5.55,7.2,No,Medium,3.2,72.93,81.6,53.74,65.93,6.15,51.41,Average,Pass
STU1257,23.0,Male,Electronics,8,3.23,5.99,5.41,Yes,Low,2.86,62.25,80.49,73.04,36.81,6.55,32.58,Low,Fail
STU1258,22.0,Male,Electronics,7,7.14,4.86,5.07,No,Medium,2.7,,78.08,64.81,38.05,8.57,36.87,Low,Fail
STU1259,24.0,Female,Mechanical,2,9.12,5.33,4.33,No,Medium,2.35,81.9,64.1,71.95,67.43,7.14,50.22,Average,Pass
STU1260,19.0,Male,Mechanical,2,7.68,7.34,1.24,Yes,Low,4.57,92.15,74.09,57.86,77.94,7.61,73.51,Good,Pass
STU1261,17.0,Female,Computer Science,6,3.18,4.93,3.03,No,High,1.4,87.49,61.82,59.81,40.74,7.07,14.67,Low,Fail
STU1262,22.0,Male,Mechanical,7,5.9,4.58,5.68,Yes,Low,3.52,74.58,72.21,84.43,71.75,5.9,75.33,Good,Pass
STU1263,21.0,Female,Civil,3,1.77,5.74,1.9,No,Medium,2.42,63.86,75.97,53.28,84.96,8.23,29.67,Low,Fail
STU1264,17.0,Male,Electronics,4,6.43,7.38,0.0,Yes,Low,1.86,83.19,92.15,54.31,93.32,7.75,82.54,Excellent,Pass
STU1265,19.0,Male,Computer Science,3,6.13,6.26,3.55,Yes,Medium,6.88,91.33,56.28,67.28,69.97,9.74,62.78,Average,Pass
STU1266,18.0,Female,Civil,7,0.33,5.94,3.72,Yes,Medium,3.63,87.06,77.78,57.19,72.6,6.08,40.82,Low,Fail
STU1267,20.0,Male,Computer Science,5,2.1,6.55,4.27,No,Medium,3.92,91.01,89.77,55.61,33.0,8.1,24.07,Low,Fail
STU1268,24.0,Male,Computer Science,8,4.29,4.41,5.46,Yes,Low,4.71,75.46,,69.47,96.5,5.76,80.33,Excellent,Pass
STU1269,23.0,Female,Computer Science,6,4.25,7.09,5.28,Yes,Medium,0.87,72.4,82.0,46.93,56.37,7.37,31.3,Low,Fail
STU1270,19.0,Female,Electronics,3,1.98,,4.52,No,Medium,5.63,69.16,79.05,53.89,51.0,8.27,24.89,Low,Fail
STU1271,22.0,Male,Civil,2,5.97,6.01,6.39,No,High,0.0,77.33,87.58,96.76,61.17,4.92,54.19,Average,Pass
STU1272,24.0,Male,Mechanical,6,5.63,7.71,0.96,No,Medium,1.85,77.06,58.95,74.43,87.68,6.97,55.74,Average,Pass
STU1273,24.0,Female,Computer Science,1,4.51,5.15,5.01,Yes,Medium,2.31,80.48,55.37,57.55,98.12,6.58,40.82,Low,Fail
STU1274,24.0,Male,Business,7,3.11,7.85,5.25,No,Low,3.87,76.45,71.92,73.86,66.88,6.43,66.78,Good,Pass
STU1275,17.0,Male,Business,8,7.62,6.69,1.52,No,Medium,3.33,76.4,46.07,75.94,79.97,7.62,46.11,Low,Fail
STU1276,20.0,Male,Business,3,9.14,6.1,0.99,Yes,Low,2.75,68.68,86.77,81.92,65.65,8.43,63.29,Average,Pass
STU1277,17.0,Female,Computer Science,6,3.79,6.48,2.51,No,Low,2.98,89.3,86.65,66.22,49.43,7.05,53.14,Average,Pass
STU1278,22.0,Female,Electronics,8,3.47,6.37,2.68,Yes,Low,1.53,78.92,66.8,81.67,87.15,,72.07,Good,Pass
STU1279,17.0,Male,Business,3,6.23,7.96,5.51,No,Medium,0.75,75.91,67.55,39.46,55.67,7.33,54.89,Average,Pass
STU1280,18.0,Male,Civil,6,4.1,5.21,2.77,Yes,Medium,4.09,69.03,71.13,53.21,88.03,7.2,36.62,Low,Fail
STU1281,20.0,Male,Computer Science,2,4.65,5.58,2.29,No,High,4.04,,72.62,70.29,84.48,6.0,48.58,Low,Fail
STU1282,20.0,Female,Computer Science,1,6.85,7.74,2.78,Yes,,5.38,93.7,73.53,72.61,74.21,8.42,79.24,Good,Pass
STU1283,22.0,Male,Electronics,1,0.23,5.79,6.24,No,Medium,1.81,84.66,78.7,55.24,92.43,7.52,52.33,Average,Pass
STU1284,23.0,Male,Business,5,8.3,7.58,,Yes,High,4.04,,69.93,71.63,98.49,7.63,64.29,Average,Pass
STU1285,18.0,Female,Mechanical,6,5.18,8.54,3.64,No,Medium,2.57,87.16,83.32,59.27,62.37,6.31,58.9,Average,Pass
STU1286,19.0,Male,Electronics,3,3.97,6.02,3.78,No,Medium,4.79,89.07,77.35,64.12,52.87,6.69,29.4,Low,Fail
STU1287,17.0,Female,Computer Science,1,4.78,7.32,6.58,Yes,Medium,4.53,79.49,64.72,82.35,37.04,7.01,53.8,Average,Pass
STU1288,21.0,Male,Mechanical,7,4.91,5.12,2.5,No,Low,3.32,97.18,88.02,80.73,98.67,5.51,66.2,Good,Pass
STU1289,17.0,Male,Civil,1,0.67,7.41,6.63,No,Medium,2.49,80.6,55.7,54.04,58.4,5.34,16.43,Low,Fail
STU1290,24.0,Male,Electronics,4,8.74,6.74,4.42,Yes,Medium,4.44,61.0,70.89,53.2,82.03,6.54,51.06,Average,Pass
STU1291,17.0,Female,Civil,4,5.1,7.07,3.68,Yes,Low,3.97,82.38,83.6,62.24,53.88,7.77,73.86,Good,Pass
STU1292,19.0,Female,Business,1,6.11,5.73,9.0,No,Low,1.97,80.94,63.32,67.63,88.07,6.48,59.05,Average,Pass
STU1293,17.0,Female,Computer Science,6,7.38,4.51,1.89,Yes,Medium,1.01,70.76,75.71,58.79,54.5,6.08,43.58,Low,Fail
STU1294,18.0,Male,Mechanical,5,2.45,7.1,,Yes,High,2.57,84.88,78.52,82.57,47.12,6.3,50.1,Average,Pass
STU1295,18.0,Female,Computer Science,1,6.18,4.02,1.54,Yes,Medium,5.27,57.99,61.67,72.86,61.87,6.7,36.73,Low,Fail
STU1296,20.0,Male,Civil,2,4.33,6.12,5.9,Yes,Medium,,89.89,71.13,73.69,57.02,6.81,38.16,Low,Fail
STU1297,22.0,Male,Mechanical,8,7.12,,7.38,Yes,Medium,1.33,67.46,70.12,50.27,73.94,9.58,46.91,Low,Fail
STU1298,23.0,Female,Mechanical,3,0.0,6.73,7.34,Yes,Low,1.25,66.18,65.38,84.34,64.23,8.36,57.96,Average,Pass
STU1299,21.0,Male,Civil,5,4.75,,6.45,No,,4.91,76.63,99.62,28.52,74.42,8.33,51.58,Average,Pass
STU1300,24.0,Male,Electronics,2,3.49,7.73,3.6,No,Medium,1.3,83.2,62.84,79.68,60.63,8.49,63.15,Average,Pass
STU1301,17.0,Male,Business,5,6.08,5.72,3.27,Yes,High,3.76,79.97,84.06,81.08,55.02,6.1,51.98,Average,Pass
STU1302,17.0,Male,Mechanical,2,6.18,6.53,0.66,No,Low,2.08,69.09,,61.95,56.25,5.86,36.24,Low,Fail
STU1303,19.0,Male,Computer Science,3,,6.44,8.07,No,Medium,5.43,71.93,,85.82,95.67,5.98,54.42,Average,Pass
STU1304,22.0,Female,Mechanical,3,3.22,4.6,4.94,No,Medium,1.84,64.4,73.23,67.12,68.38,8.67,31.89,Low,Fail
STU1305,18.0,Male,Civil,4,4.72,5.37,3.02,Yes,Medium,4.72,75.3,79.79,68.87,35.24,6.6,29.03,Low,Fail
STU1306,21.0,Female,Electronics,6,2.76,5.83,6.66,Yes,Low,3.28,,,72.75,57.2,5.82,100.0,Excellent,Pass
STU1307,20.0,Female,Business,2,7.1,4.06,2.05,No,Medium,3.38,77.95,90.75,100.0,66.45,,71.17,Good,Pass
STU1308,18.0,Male,Business,8,4.08,6.56,4.81,No,High,0.04,88.31,100.0,86.82,92.68,6.94,74.27,Good,Pass
STU1309,24.0,Male,Computer Science,4,0.0,6.2,3.65,No,Medium,0.0,95.46,75.01,77.82,80.43,7.5,49.25,Low,Fail
STU1310,22.0,Male,Business,2,4.06,4.49,5.28,No,Medium,2.67,70.94,64.04,55.22,51.17,7.48,45.1,Low,Fail
STU1311,24.0,Female,Computer Science,4,2.4,6.99,3.87,Yes,Medium,3.37,75.76,77.43,70.01,100.0,6.29,74.11,Good,Pass
STU1312,23.0,Male,Computer Science,3,0.92,7.36,1.1,No,Medium,,100.0,68.81,56.62,64.53,7.95,64.14,Average,Pass
STU1313,20.0,Female,Computer Science,5,1.91,6.77,4.15,Yes,Medium,1.37,95.33,83.11,79.51,83.69,6.5,83.84,Excellent,Pass
STU1314,23.0,Male,Business,7,5.27,6.11,6.1,Yes,High,3.84,57.93,56.43,69.97,47.67,7.03,6.8,Low,Fail
STU1315,19.0,Female,Mechanical,4,8.32,7.21,3.94,No,High,3.84,82.65,100.0,52.26,29.03,7.96,22.41,Low,Fail
STU1316,24.0,Male,Computer Science,2,5.78,7.32,5.55,Yes,Medium,2.79,78.01,82.27,69.14,43.87,6.49,33.43,Low,Fail
STU1317,19.0,Male,Electronics,2,3.48,6.87,1.91,No,Medium,4.17,87.92,51.79,56.11,25.0,6.57,9.95,Low,Fail
STU1318,17.0,Female,Mechanical,7,6.14,5.51,3.95,No,High,1.24,69.06,63.49,70.12,96.68,7.85,53.29,Average,Pass
STU1319,23.0,Female,Computer Science,6,3.85,6.83,2.75,Yes,Medium,2.47,67.92,81.79,55.97,68.22,6.26,39.99,Low,Fail
STU1320,22.0,Male,Business,8,3.26,7.93,5.49,No,Medium,5.47,69.89,86.12,68.38,51.13,6.78,57.39,Average,Pass
STU1321,24.0,Female,Civil,3,2.11,5.78,4.06,No,Low,3.1,71.14,56.73,78.51,71.79,7.81,64.41,Average,Pass
STU1322,21.0,Male,Mechanical,2,0.62,9.02,5.38,No,Medium,3.19,87.78,80.56,67.26,67.84,9.46,48.43,Low,Fail
STU1323,20.0,Female,Business,1,4.03,5.87,6.18,Yes,Medium,,63.83,48.63,62.53,74.31,,58.64,Average,Pass
STU1324,18.0,Female,Electronics,5,5.4,6.54,5.38,Yes,High,0.9,70.53,70.93,70.85,83.14,7.72,63.62,Average,Pass
STU1325,22.0,Male,Business,4,4.76,5.69,4.55,Yes,High,4.19,56.53,85.34,77.76,60.65,7.78,32.66,Low,Fail
STU1326,22.0,Male,Mechanical,6,3.96,6.77,2.0,Yes,Low,5.5,90.09,,52.5,51.8,6.02,26.91,Low,Fail
STU1327,19.0,Male,Mechanical,8,2.64,4.41,3.99,Yes,Medium,2.51,93.25,53.92,71.65,77.42,7.33,51.12,Average,Pass
STU1328,23.0,Female,Computer Science,7,6.52,5.84,2.93,No,High,4.29,74.08,73.75,86.45,77.03,7.17,42.58,Low,Fail
STU1329,24.0,Female,Business,5,1.71,5.19,3.31,Yes,Medium,1.53,74.42,64.74,76.03,66.51,7.55,45.49,Low,Fail
STU1330,24.0,Male,Electronics,3,6.94,6.66,3.25,No,Low,1.97,83.44,79.55,68.81,97.66,7.33,76.47,Good,Pass
STU1331,17.0,Male,Computer Science,6,2.49,7.69,2.04,Yes,Low,3.58,95.69,61.38,76.96,58.43,7.62,55.4,Average,Pass
STU1332,17.0,Female,Computer Science,8,3.12,7.28,0.09,No,Medium,4.2,82.9,62.73,74.33,51.5,6.86,42.12,Low,Fail
STU1333,20.0,Other,Mechanical,4,1.33,3.65,2.66,No,Medium,4.68,69.63,47.75,78.55,71.27,7.26,22.59,Low,Fail
STU1334,19.0,Female,Mechanical,4,3.75,8.95,4.39,Yes,Medium,5.35,58.57,74.04,39.66,54.88,5.85,33.53,Low,Fail
STU1335,22.0,Male,Civil,7,7.44,6.85,,Yes,Low,2.9,,70.07,46.25,72.43,6.85,48.88,Low,Fail
STU1336,24.0,Male,Business,1,6.29,5.57,4.03,No,High,4.79,78.88,57.74,82.07,52.5,8.73,35.83,Low,Fail
STU1337,21.0,Male,Computer Science,7,7.45,6.69,7.8,No,,2.49,70.14,74.33,46.93,59.0,7.55,49.5,Low,Fail
STU1338,19.0,Female,Civil,3,6.31,6.71,6.05,No,,4.35,80.34,84.32,73.62,93.36,7.18,61.14,Average,Pass
STU1339,20.0,Male,Computer Science,6,2.24,5.7,7.29,Yes,Medium,3.31,71.36,69.41,63.07,58.92,9.29,36.42,Low,Fail
STU1340,20.0,Female,Business,6,4.17,6.74,4.78,Yes,Medium,3.67,65.3,75.22,54.05,53.02,5.7,33.4,Low,Fail
STU1341,19.0,Male,Civil,2,3.05,5.77,6.34,No,Low,3.64,,75.28,72.9,82.56,5.98,47.24,Low,Fail
STU1342,20.0,Female,Mechanical,1,8.33,6.01,2.55,No,Medium,0.59,96.75,57.55,70.81,49.23,9.08,57.46,Average,Pass
STU1343,19.0,Female,Civil,1,2.01,5.68,2.71,No,Low,1.31,88.67,96.68,97.54,54.61,7.25,52.12,Average,Pass
STU1344,18.0,Female,Electronics,6,7.23,4.78,0.0,No,Medium,3.15,,66.35,59.25,73.65,6.93,52.96,Average,Pass
STU1345,19.0,Male,Electronics,6,7.23,6.68,6.37,No,High,0.47,84.48,79.87,88.16,79.08,5.88,49.02,Low,Fail
STU1346,23.0,Male,Civil,5,9.57,7.2,7.08,Yes,Medium,4.25,72.84,81.23,72.93,83.31,7.69,78.55,Good,Pass
STU1347,19.0,Male,Electronics,8,,7.12,2.89,Yes,Medium,4.31,93.88,70.32,58.75,53.79,7.8,42.43,Low,Fail
STU1348,20.0,Female,Electronics,5,6.78,7.48,3.49,Yes,Medium,3.49,77.6,79.28,79.19,73.94,6.0,64.97,Average,Pass
STU1349,24.0,Female,Electronics,5,10.7,6.89,2.49,No,Low,1.32,80.65,74.95,75.92,58.01,7.05,80.36,Excellent,Pass
STU1350,23.0,Female,Civil,1,3.46,5.86,4.77,Yes,High,5.07,77.49,54.99,68.5,55.92,6.83,28.67,Low,Fail
STU1351,20.0,Female,Electronics,2,1.16,7.51,6.25,Yes,,6.06,42.64,68.01,71.73,83.05,7.48,41.38,Low,Fail
STU1352,17.0,Female,Computer Science,4,0.3,4.87,0.51,No,Low,,,64.65,59.64,56.76,5.97,59.57,Average,Pass
STU1353,17.0,Male,Civil,5,6.78,5.42,4.82,No,Low,3.77,83.89,66.46,56.44,69.17,8.58,65.93,Good,Pass
STU1354,24.0,Female,Civil,2,0.29,5.34,3.45,No,Low,3.3,81.96,56.35,78.63,67.33,,44.94,Low,Fail
STU1355,24.0,Male,Computer Science,7,4.07,7.8,4.23,No,Low,3.8,77.26,85.52,64.86,48.94,6.8,51.61,Average,Pass
STU1356,23.0,Male,Computer Science,3,6.09,7.63,4.92,Yes,,2.82,79.96,91.22,66.88,79.49,6.96,52.08,Average,Pass
STU1357,18.0,Male,Computer Science,5,5.46,7.08,3.62,No,Medium,2.95,70.83,83.74,71.92,73.4,7.05,44.48,Low,Fail
STU1358,24.0,Male,Electronics,7,6.06,7.79,3.79,No,,4.36,85.4,87.25,71.71,35.21,6.34,26.8,Low,Fail
STU1359,17.0,Male,Electronics,4,5.56,5.44,3.57,No,Medium,6.52,,67.86,47.99,69.16,6.71,58.97,Average,Pass
STU1360,19.0,Female,Civil,3,8.2,6.92,5.94,Yes,Medium,0.9,80.23,64.36,86.01,53.41,6.9,42.95,Low,Fail
STU1361,20.0,Male,Mechanical,3,2.62,6.35,4.84,Yes,Medium,2.84,84.74,62.66,69.7,81.46,8.97,47.44,Low,Fail
STU1362,17.0,Female,Mechanical,4,3.31,7.52,4.44,No,Low,1.23,75.62,79.73,65.16,43.32,8.24,29.86,Low,Fail
STU1363,17.0,Male,Electronics,5,3.07,6.36,1.46,No,Medium,5.39,82.45,74.72,74.03,59.65,8.23,50.46,Average,Pass
STU1364,18.0,Male,Civil,1,7.08,6.04,3.24,No,Medium,2.12,66.1,71.07,71.31,70.43,7.61,49.25,Low,Fail
STU1365,23.0,Male,Electronics,4,7.25,7.15,5.8,No,Low,0.84,66.41,87.54,78.74,65.82,5.97,67.45,Good,Pass
STU1366,23.0,Male,Business,4,6.13,7.55,4.08,No,Low,3.96,80.84,76.86,75.53,76.44,7.15,69.89,Good,Pass
STU1367,22.0,Female,Mechanical,4,7.96,5.7,5.32,No,High,5.62,86.14,61.94,78.05,42.22,,20.72,Low,Fail
STU1368,18.0,Male,Computer Science,3,2.05,6.43,,No,,4.0,55.5,63.83,86.91,89.78,,36.35,Low,Fail
STU1369,19.0,Female,Mechanical,8,9.17,5.23,6.08,Yes,Medium,3.31,84.26,80.18,80.37,72.88,7.9,81.08,Excellent,Pass
STU1370,23.0,Male,Electronics,2,8.81,3.5,4.19,No,Medium,3.61,71.48,84.5,65.75,85.4,9.75,62.11,Average,Pass
STU1371,20.0,Female,Mechanical,7,6.84,6.74,2.98,No,High,5.12,75.69,78.62,52.28,78.11,8.37,58.04,Average,Pass
STU1372,24.0,Female,Computer Science,1,9.45,7.23,0.0,Yes,Medium,1.69,61.93,,91.35,64.83,8.76,62.09,Average,Pass
STU1373,18.0,Female,Computer Science,5,0.86,6.81,,Yes,Low,2.83,67.78,91.62,64.67,45.74,7.44,31.51,Low,Fail
STU1374,24.0,Male,Business,5,16.311317565453248,4.16,3.35,Yes,High,2.32,89.59,77.29,61.38,56.55,8.26,38.06,Low,Fail
STU1375,17.0,Male,Computer Science,7,3.16,6.08,4.78,No,,1.25,78.39,61.94,43.69,88.84,6.41,36.76,Low,Fail
STU1376,20.0,Male,Civil,2,6.8,3.84,3.69,Yes,Low,2.51,73.41,56.28,72.74,85.78,8.08,57.98,Average,Pass
STU1377,20.0,Female,Computer Science,4,2.37,8.14,3.36,No,Medium,4.66,76.6,67.35,70.08,55.71,7.92,38.47,Low,Fail
STU1378,17.0,Male,Mechanical,8,6.89,5.2,0.44,Yes,High,3.85,83.87,81.04,46.79,25.0,7.52,31.58,Low,Fail
STU1379,18.0,Male,Mechanical,1,8.43,8.01,2.12,Yes,Low,3.97,83.29,93.92,74.35,61.81,,55.31,Average,Pass
STU1380,17.0,Female,Mechanical,5,6.74,7.64,4.95,No,Medium,3.22,77.1,77.01,61.03,60.68,6.61,45.67,Low,Fail
STU1381,24.0,Male,Electronics,7,5.71,5.42,7.43,Yes,Low,3.78,91.12,86.02,100.0,61.25,6.99,64.02,Average,Pass
STU1382,22.0,Female,Computer Science,6,2.53,5.14,3.8,No,High,1.8,89.65,69.06,60.03,72.93,7.31,33.62,Low,Fail
STU1383,20.0,Male,Computer Science,8,2.88,6.92,4.66,No,Low,2.54,,79.47,61.91,78.14,,58.18,Average,Pass
STU1384,21.0,Male,Electronics,7,8.12,5.49,5.9,No,Medium,3.29,78.66,81.88,55.75,79.85,7.45,53.28,Average,Pass
STU1385,21.0,Female,Mechanical,8,6.95,6.62,2.38,Yes,High,3.42,85.89,48.24,85.89,71.69,5.31,60.21,Average,Pass
STU1386,24.0,Male,Business,5,4.9,5.92,4.73,No,Low,,81.77,,62.78,37.99,8.35,49.71,Low,Fail
STU1387,19.0,Female,Business,4,3.96,4.36,2.52,No,High,2.79,90.73,83.4,57.85,59.88,7.25,51.66,Average,Pass
